name,capital,continent,currency,population
"Portugal","Lisbon","Europe","euro","10347892"
"Qatar","Doha","Asia","Qatari riyal","2639211"
"Republic of Ireland","Dublin","Europe","euro","5123536"
"Republic of the Congo","Brazzaville","Africa","Central African CFA franc","5260750"
"Romania","Bucharest","Europe","Romanian Leu","19586539"
"Russia","Moscow","Asia","Russian ruble","145975300"
"Russia","Moscow","Europe","Russian ruble","145975300"
"Rwanda","Kigali","Africa","Rwandan franc","12208407"
"Saint Kitts and Nevis","Basseterre","North America","Eastern Caribbean dollar","55345"
"Saint Lucia","Castries","North America","Eastern Caribbean dollar","178844"
"Saint Vincent and the Grenadines","Kingstown","North America","Eastern Caribbean dollar","109897"
"Samoa","Apia","Insular Oceania","Samoan tālā","198410"
"San Marino","San Marino","Europe","euro","33607"
"Saudi Arabia","Riyadh","Asia","Saudi riyal","33000000"
"Senegal","Dakar","Africa","West African CFA franc","15850567"
"Serbia","Belgrade","Europe","Serbian dinar","7022268"
"Seychelles","Victoria","Africa","Seychellois rupee","95843"
"Sierra Leone","Freetown","Africa","leone","7557212"
"Singapore","Singapore","Asia","Singapore dollar","5866139"
"Slovakia","Bratislava","Europe","euro","5449270"
"Slovenia","Ljubljana","Europe","euro","2066880"
"Solomon Islands","Honiara","Insular Oceania","Solomon Islands dollar","611343"
"Somalia","Mogadishu","Africa","Somali shilling","11031386"
"South Africa","Bloemfontein","Africa","rand","60142978"
"South Africa","Cape Town","Africa","rand","60142978"
"South Africa","Pretoria","Africa","rand","60142978"
"South Korea","Seoul","Asia","South Korean won","51466201"
"South Korea","Seoul","Asia","Korean mun","51466201"
"South Sudan","Juba","Africa","South Sudanese pound","12575714"
"Spain","Madrid","Europe","euro","46733038"
"Sri Lanka","Sri Jayawardenepura Kotte","Asia","Sri Lankan rupee","21444000"
"Sri Lanka","Colombo","Asia","Sri Lankan rupee","21444000"
"State of Palestine","Ramallah","Asia","Jordanian dinar","5227193"
"State of Palestine","Ramallah","Asia","new shekel","5227193"
"State of Palestine","Jerusalem","Asia","Jordanian dinar","5227193"
"State of Palestine","Jerusalem","Asia","new shekel","5227193"
"Sudan","Khartoum","Africa","Sudanese pound","40533330"
"Suriname","Paramaribo","South America","Surinamese dollar","563402"
"Sweden","Stockholm","Europe","Swedish krona","10409248"
"Switzerland","Bern","Europe","Swiss franc","8466017"
"Syria","Damascus","Asia","Syrian pound","18499181"
"São Tomé and Príncipe","São Tomé","Africa","São Tomé and Príncipe dobra","204327"
"Taiwan","Taipei","Asia","New Taiwan dollar","23593794"
"Tajikistan","Dushanbe","Asia","Tajikistani somoni","9504000"
"Tanzania","Dodoma","Africa","Tanzanian shilling","57310019"
"Thailand","Bangkok","Asia","baht","66188503"
"The Bahamas","Nassau","North America","Bahamian dollar","395361"
"The Gambia","Banjul","Africa","dalasi","2416668"
"Togo","Lomé","Africa","West African CFA franc","7797694"
"Tonga","Nuku'alofa","Insular Oceania","Tongan paʻanga","105697"
"Trinidad and Tobago","Port of Spain","North America","Trinidad and Tobago dollar","1369125"
"Tunisia","Tunis","Africa","Tunisian dinar","11565204"
"Turkey","Ankara","Eurasia","Turkish lira","83614362"
"Turkey","Ankara","Asia","Turkish lira","83614362"
"Turkey","Ankara","Europe","Turkish lira","83614362"
"Turkmenistan","Ashgabat","Asia","Turkmenistan manat","5850901"
"Tuvalu","Funafuti","Insular Oceania","Tuvaluan dollar","11792"
"Tuvalu","Funafuti","Insular Oceania","Australian dollar","11792"
"Uganda","Kampala","Africa","Ugandan shilling","47123531"
"Ukraine","Kyiv","Europe","hryvnia","41588354"
"United Arab Emirates","Abu Dhabi","Asia","United Arab Emirates dirham","9890400"
"United Kingdom","London","Europe","pound sterling","66022273"
"United States of America","Washington, D.C.","Insular Oceania","United States dollar","332278200"
"United States of America","Washington, D.C.","North America","United States dollar","332278200"
"Uruguay","Montevideo","South America","Uruguayan peso","3456750"
"Uzbekistan","Tashkent","Asia","Uzbekistani som","33570609"
"Vanuatu","Port Vila","Insular Oceania","Vanuatu vatus","276244"
"Venezuela","Caracas","South America","Sovereign Bolivar","28515829"
"Vietnam","Hanoi","Asia","Vietnamese dong","96208984"
"Yemen","Aden","Asia","Yemeni rial","28250420"
"Yemen","Sanaa","Asia","Yemeni rial","28250420"
"Zambia","Lusaka","Africa","Zambian kwacha","17094130"
"Zimbabwe","Harare","Africa","United States dollar","15178979"
